2019-12-14 16:20:45.9611 Info Loading Cardigann definition /app/Jackett/Definitions/xtremezone.yml 
2019-12-14 16:20:45.9723 Info Loading Cardigann definition /app/Jackett/Definitions/tazmaniaden.yml 
2019-12-14 16:20:45.9745 Info Loading Cardigann definition /app/Jackett/Definitions/toros.yml 
2019-12-14 16:20:45.9776 Info Loading Cardigann definition /app/Jackett/Definitions/rus-media.yml 
2019-12-14 16:20:45.9987 Info Loading Cardigann definition /app/Jackett/Definitions/theplace.yml 
2019-12-14 16:20:46.0040 Info Loading Cardigann definition /app/Jackett/Definitions/speedtorrentreloaded.yml 
2019-12-14 16:20:46.0158 Info Loading Cardigann definition /app/Jackett/Definitions/theaudioscene.yml 
2019-12-14 16:20:46.0183 Info Loading Cardigann definition /app/Jackett/Definitions/torrentz2.yml 
2019-12-14 16:20:46.0183 Info Loading Cardigann definition /app/Jackett/Definitions/btetree.yml 
2019-12-14 16:20:46.0214 Info Loading Cardigann definition /app/Jackett/Definitions/pixelcove.yml 
2019-12-14 16:20:46.0214 Info Loading Cardigann definition /app/Jackett/Definitions/karagarga.yml 
2019-12-14 16:20:46.0275 Info Loading Cardigann definition /app/Jackett/Definitions/shareisland.yml 
2019-12-14 16:20:46.0329 Info Loading Cardigann definition /app/Jackett/Definitions/dxdhd.yml 
2019-12-14 16:20:46.0413 Info Loading Cardigann definition /app/Jackett/Definitions/magnetdl.yml 
2019-12-14 16:20:46.0440 Info Loading Cardigann definition /app/Jackett/Definitions/rgu.yml 
2019-12-14 16:20:46.0481 Info Loading Cardigann definition /app/Jackett/Definitions/4thd.yml 
2019-12-14 16:20:46.0516 Info Loading Cardigann definition /app/Jackett/Definitions/siambit.yml 
2019-12-14 16:20:46.0565 Info Loading Cardigann definition /app/Jackett/Definitions/world-of-tomorrow.yml 
2019-12-14 16:20:46.0598 Info Loading Cardigann definition /app/Jackett/Definitions/kinozal.yml 
2019-12-14 16:20:46.0684 Info Loading Cardigann definition /app/Jackett/Definitions/hdsky.yml 
2019-12-14 16:20:46.0723 Info Loading Cardigann definition /app/Jackett/Definitions/ebooks-shares.yml 
2019-12-14 16:20:46.0975 Info Loading Cardigann definition /app/Jackett/Definitions/backups.yml 
2019-12-14 16:20:46.1025 Info Loading Cardigann definition /app/Jackett/Definitions/theshinning.yml 
2019-12-14 16:20:46.1059 Info Loading Cardigann definition /app/Jackett/Definitions/tokyotosho.yml 
2019-12-14 16:20:46.1059 Info Loading Cardigann definition /app/Jackett/Definitions/immortuos.yml 
2019-12-14 16:20:46.1163 Info Loading Cardigann definition /app/Jackett/Definitions/retroflix.yml 
2019-12-14 16:20:46.1197 Info Loading Cardigann definition /app/Jackett/Definitions/lesaloon.yml 
2019-12-14 16:20:46.1246 Info Loading Cardigann definition /app/Jackett/Definitions/torrent9.yml 
2019-12-14 16:20:46.1272 Info Loading Cardigann definition /app/Jackett/Definitions/frozenlayer.yml 
2019-12-14 16:20:46.1314 Info Loading Cardigann definition /app/Jackett/Definitions/focusx.yml 
2019-12-14 16:20:46.1436 Info Loading Cardigann definition /app/Jackett/Definitions/crazyhd.yml 
2019-12-14 16:20:46.1503 Info Loading Cardigann definition /app/Jackett/Definitions/insanetracker.yml 
2019-12-14 16:20:46.1615 Info Loading Cardigann definition /app/Jackett/Definitions/p2pbg.yml 
2019-12-14 16:20:46.1705 Info Loading Cardigann definition /app/Jackett/Definitions/carpathians.yml 
2019-12-14 16:20:46.1744 Info Loading Cardigann definition /app/Jackett/Definitions/hdtorrentsit.yml 
2019-12-14 16:20:46.1787 Info Loading Cardigann definition /app/Jackett/Definitions/torviet.yml 
2019-12-14 16:20:46.1826 Info Loading Cardigann definition /app/Jackett/Definitions/exttorrents.yml 
2019-12-14 16:20:46.1852 Info Loading Cardigann definition /app/Jackett/Definitions/takeabyte.yml 
2019-12-14 16:20:46.1896 Info Loading Cardigann definition /app/Jackett/Definitions/btnext.yml 
2019-12-14 16:20:46.1990 Info Loading Cardigann definition /app/Jackett/Definitions/divteam.yml 
